x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,label
0.0,0.0,0.0,0.03177264332771301,-0.06149947643280029,-0.03698264963810516,0.029358744621276855,-0.14689922332763672,-0.05247049189989639,-0.03066059947013855,-0.20347994565963745,-0.06630974791829658,-0.08328123390674591,-0.22843503952026367,-0.0781427823740728,0.027064964175224304,-0.26182466745376587,-0.023012868760872607,0.0488005131483078,-0.3603355884552002,-0.04777206636850906,0.06601949036121368,-0.4197200536727905,-0.0667815112311132,0.07740278542041779,-0.4707605540752411,-0.07922135822360588,-0.021696284413337708,-0.25873133540153503,-0.023463668002534632,-0.048253610730171204,-0.3754260540008545,-0.05175709508245063,-0.06411315500736237,-0.4417280852794647,-0.07387862138335777,-0.08160553872585297,-0.5053601562976837,-0.08579525135343147,-0.058457717299461365,-0.22254160046577454,-0.02760137215142322,-0.08227680623531342,-0.2707151472568512,-0.0725396402913816,-0.05225154757499695,-0.20708692073822021,-0.08402476243560386,-0.035403743386268616,-0.16261547803878784,-0.07828558020179344,-0.08705087006092072,-0.16797906160354614,-0.033719261809039835,-0.09673747420310974,-0.2117936909198761,-0.06790766648833824,-0.07049679756164551,-0.17115193605422974,-0.06638230912273002,-0.05202449858188629,-0.1358988881111145,-0.05661924712245536,V
0.0,0.0,0.0,0.03295956552028656,-0.059403061866760254,-0.03646600505697961,0.027383700013160706,-0.1447562575340271,-0.05191139391052957,-0.03420053422451019,-0.19652032852172852,-0.0659818451701426,-0.08549864590167999,-0.22358861565589905,-0.07792612424481149,0.025579795241355896,-0.25992658734321594,-0.022104647740604833,0.04807071387767792,-0.35826724767684937,-0.047707172840716794,0.06458680331707001,-0.41871878504753113,-0.06651339194166894,0.07684729993343353,-0.47009533643722534,-0.07895113787043329,-0.022404640913009644,-0.25706174969673157,-0.023063930481555417,-0.04729586839675903,-0.3707619905471802,-0.05321937686193223,-0.06556247174739838,-0.4380514621734619,-0.07569767048943277,-0.08397336304187775,-0.5007451772689819,-0.08756035080540414,-0.05863897502422333,-0.22177067399024963,-0.027922454088809445,-0.08617481589317322,-0.2710915803909302,-0.07543806245911355,-0.060238853096961975,-0.2105163037776947,-0.08766175320732827,-0.0433228462934494,-0.1659224033355713,-0.0818534072338366,-0.08586107194423676,-0.16802632808685303,-0.03475596269953485,-0.09856827557086945,-0.20689848065376282,-0.07366086801874872,-0.0737246572971344,-0.16515326499938965,-0.07535093536961313,-0.054193392395973206,-0.1301998496055603,-0.06687905898678537,V
0.0,0.0,0.0,0.03433844447135925,-0.060537636280059814,-0.035446762289154776,0.03057633340358734,-0.14826440811157227,-0.05121222808514858,-0.031622275710105896,-0.19940721988677979,-0.0659836560443523,-0.08331292867660522,-0.22451063990592957,-0.07880559861217762,0.02775333821773529,-0.2622920274734497,-0.022849406297552832,0.049130260944366455,-0.3598276972770691,-0.049919846649515875,0.06511077284812927,-0.42115914821624756,-0.06951131224190021,0.0775122344493866,-0.4738457202911377,-0.08205462544714237,-0.021136268973350525,-0.2589181661605835,-0.024869592110860594,-0.047078102827072144,-0.3728671669960022,-0.05647905841027523,-0.06560134887695312,-0.44033318758010864,-0.07939308434282566,-0.0835442841053009,-0.5035658180713654,-0.09107560216938282,-0.05840215086936951,-0.2233443260192871,-0.03060669190739418,-0.08345337212085724,-0.2704193890094757,-0.07976652979408527,-0.05549630522727966,-0.2066788673400879,-0.09106364398752476,-0.03779643774032593,-0.16056782007217407,-0.08390444069658543,-0.08661088347434998,-0.16975867748260498,-0.03816552385245586,-0.09778854995965958,-0.2088959515094757,-0.07735640108143116,-0.07156747579574585,-0.16534948348999023,-0.07747213840042377,-0.05203697085380554,-0.1290677785873413,-0.06747754960809971,V
0.0,0.0,0.0,0.03136454522609711,-0.05765259265899658,-0.04051720758729971,0.02449287474155426,-0.1440342664718628,-0.058006987327871684,-0.039013102650642395,-0.19425362348556519,-0.07371907716446913,-0.09319722652435303,-0.2216295301914215,-0.08728834276848829,0.025270476937294006,-0.2658052444458008,-0.024073126146731738,0.04706175625324249,-0.36409685015678406,-0.052172724509773616,0.060960009694099426,-0.42762184143066406,-0.07265439664774931,0.07036612927913666,-0.4808482229709625,-0.08559639787131346,-0.02396133542060852,-0.2610674500465393,-0.024506222808895473,-0.0521833598613739,-0.37839728593826294,-0.05688353663140333,-0.07193630933761597,-0.44557875394821167,-0.08066507464104689,-0.09197646379470825,-0.508257269859314,-0.09231504833155668,-0.060831084847450256,-0.22242331504821777,-0.029362900534806613,-0.08912140130996704,-0.2637222409248352,-0.08020899480038679,-0.05963321030139923,-0.20113003253936768,-0.09342177247458494,-0.040621861815452576,-0.15858006477355957,-0.0867416638677696,-0.08786159753799438,-0.16697943210601807,-0.036406789327202205,-0.10415367037057877,-0.20127516984939575,-0.07590603863650358,-0.07870268821716309,-0.15813285112380981,-0.07664096390658415,-0.05832822620868683,-0.12472862005233765,-0.06693732028656996,V
0.0,0.0,0.0,0.031403303146362305,-0.0589105486869812,-0.04092856557610958,0.020374029874801636,-0.14735931158065796,-0.05991637767795055,-0.04802820831537247,-0.19473424553871155,-0.07772299335840671,-0.10409266501665115,-0.2244093120098114,-0.09325541989448993,0.023352116346359253,-0.27073439955711365,-0.02367418692949741,0.04501718282699585,-0.3731231391429901,-0.055346307023796726,0.06069137156009674,-0.44105616211891174,-0.07755368636492221,0.07203170657157898,-0.4980655610561371,-0.09116137461307972,-0.026556044816970825,-0.2648317813873291,-0.025623059510621715,-0.059184953570365906,-0.38625121116638184,-0.06271900670174091,-0.08387738466262817,-0.45785750448703766,-0.08804346309545963,-0.10777900367975235,-0.5221481323242188,-0.0995072542274329,-0.06336022913455963,-0.226228266954422,-0.03254729570392101,-0.09904757142066956,-0.2686006724834442,-0.08984026746395557,-0.07106408476829529,-0.2043476700782776,-0.1036586134279105,-0.05081896483898163,-0.1604103147983551,-0.095204014941487,-0.08919546753168106,-0.17085298895835876,-0.04155005203131168,-0.11337196081876755,-0.2037438452243805,-0.08649032251480548,-0.08855877816677094,-0.15689855813980103,-0.08800407187584369,-0.06597067415714264,-0.12187272310256958,-0.07721263603809803,V
0.0,0.0,0.0,0.03422382473945618,-0.061817169189453125,-0.041675470313180085,0.022724658250808716,-0.15325558185577393,-0.061224307408679124,-0.04946897178888321,-0.19987693428993225,-0.07922799467121422,-0.10682932287454605,-0.23120349645614624,-0.09477689444099724,0.02191329002380371,-0.27668794989585876,-0.02728191717540085,0.045247942209243774,-0.3808305263519287,-0.06008290453826248,0.0596223920583725,-0.4509677141904831,-0.08224812476908028,0.06840267777442932,-0.5107452869415283,-0.09580879985367119,-0.02993747591972351,-0.2714087665081024,-0.029544220781076547,-0.06251317262649536,-0.39590974152088165,-0.0678999680188781,-0.08895041048526764,-0.46915382146835327,-0.09262021957908928,-0.11495375633239746,-0.5349902808666229,-0.10343782930647194,-0.06754215061664581,-0.23223936557769775,-0.03665958671842873,-0.1027861014008522,-0.27488571405410767,-0.09450795828377068,-0.07454885542392731,-0.2089933454990387,-0.10701752780948937,-0.054231345653533936,-0.1647089719772339,-0.09763926594530403,-0.09441018849611282,-0.1759386658668518,-0.045986927589524385,-0.11763779819011688,-0.20670074224472046,-0.0916378009227401,-0.09099341183900833,-0.1593836545944214,-0.09269823460851967,-0.06706196069717407,-0.1258563995361328,-0.08138287394319832,V
0.0,0.0,0.0,0.03181864321231842,-0.06002908945083618,-0.044980917956650046,0.019940316677093506,-0.14950650930404663,-0.06584543817859867,-0.052169784903526306,-0.19741296768188477,-0.08476065182310322,-0.11140739917755127,-0.2268102467060089,-0.10155381345373371,0.021757856011390686,-0.2777360677719116,-0.028413510780751494,0.04348726570606232,-0.38235872983932495,-0.06117780589681843,0.05825814604759216,-0.45168493688106537,-0.08475024336200931,0.06862029433250427,-0.5105843245983124,-0.09963271104913929,-0.030212894082069397,-0.270976722240448,-0.02933432989937046,-0.06396427750587463,-0.3978845775127411,-0.06707279467207172,-0.09001457691192627,-0.4716140925884247,-0.0937737830839751,-0.1153998076915741,-0.5381772518157959,-0.10670659774166324,-0.06823215633630753,-0.230019211769104,-0.035374038752138404,-0.10462350398302078,-0.2755042016506195,-0.09388963961225727,-0.07579094171524048,-0.2102142572402954,-0.10899052852016666,-0.05520525574684143,-0.16484498977661133,-0.10149324768406132,-0.09465998411178589,-0.17166662216186523,-0.04376332544904926,-0.11914831399917603,-0.20967617630958557,-0.09035858594995716,-0.09293784201145172,-0.16260743141174316,-0.09250400298458317,-0.06967370957136154,-0.1264597475528717,-0.08217805707079151,V
0.0,0.0,0.0,0.03833456337451935,-0.06386184692382812,-0.04367579580434722,0.030647873878479004,-0.15661126375198364,-0.0651546536494152,-0.03996060788631439,-0.20573347806930542,-0.08513749824055594,-0.10067287087440491,-0.23419511318206787,-0.1025599880624668,0.025673121213912964,-0.28584811091423035,-0.028048545729006946,0.049070701003074646,-0.3924606144428253,-0.060917769234265506,0.06597936153411865,-0.462156280875206,-0.08479625419863623,0.07881179451942444,-0.5213984549045563,-0.10024606124648017,-0.027045071125030518,-0.28094372153282166,-0.030118872087086856,-0.059563398361206055,-0.4086966812610626,-0.06847324655541343,-0.08390410244464874,-0.48723819851875305,-0.09658409343251151,-0.10766615718603134,-0.5579725205898285,-0.11101254508980674,-0.06604063510894775,-0.2404613196849823,-0.03702104152330321,-0.09943576902151108,-0.28857487440109253,-0.09522508517989081,-0.07031252980232239,-0.2227981984615326,-0.1113243444372074,-0.05003839731216431,-0.17447784543037415,-0.10506201223620337,-0.09367083013057709,-0.18201103806495667,-0.04625888229497832,-0.11277899891138077,-0.21755003929138184,-0.09262204603442115,-0.08546885848045349,-0.17163223028182983,-0.09604388163575095,-0.06174437701702118,-0.13506469130516052,-0.08704167292603415,V
0.0,0.0,0.0,0.04079297184944153,-0.062053799629211426,-0.042733859888869574,0.03671747446060181,-0.15679359436035156,-0.06343834909017687,-0.03116321563720703,-0.20648440718650818,-0.08309204193170672,-0.09149906039237976,-0.23702779412269592,-0.09945784570987826,0.02736949920654297,-0.28898200392723083,-0.024892314023929885,0.04628947377204895,-0.39701491594314575,-0.05742730634625559,0.060683220624923706,-0.46645548939704895,-0.08056207063015108,0.0723966658115387,-0.5247931182384491,-0.09531744631345873,-0.02476230263710022,-0.2818266749382019,-0.02769435072656279,-0.05917789041996002,-0.406808540225029,-0.0655989727598012,-0.08258900046348572,-0.4846060872077942,-0.09237460108812456,-0.10465456545352936,-0.552630603313446,-0.10572300168092852,-0.06312346458435059,-0.2407565712928772,-0.03572082953866129,-0.09145753085613251,-0.28673994541168213,-0.09253840210254793,-0.06200896203517914,-0.22473278641700745,-0.1072276017289937,-0.042675912380218506,-0.17876583337783813,-0.100587629399854,-0.0898008793592453,-0.1832001507282257,-0.04642700465734606,-0.09933409094810486,-0.2090425193309784,-0.09206052186306124,-0.0700819194316864,-0.16612762212753296,-0.09602691294963961,-0.04782940447330475,-0.13366693258285522,-0.08765064241703158,V
0.0,0.0,0.0,0.04042631387710571,-0.06527525186538696,-0.03630890112799534,0.03734096884727478,-0.1653079390525818,-0.05334378567022213,-0.029854610562324524,-0.21165278553962708,-0.07030561354440579,-0.08730664849281311,-0.23792341351509094,-0.0845483296780003,0.02759227156639099,-0.2883656620979309,-0.022098643448771327,0.051887303590774536,-0.39493513107299805,-0.051831343886078685,0.06917634606361389,-0.4621265232563019,-0.07236646648925671,0.08153566718101501,-0.5193105638027191,-0.08548534449619183,-0.02419416606426239,-0.28177639842033386,-0.026193426665486186,-0.05596521496772766,-0.40644702315330505,-0.06223341238182911,-0.07517684996128082,-0.4822196662425995,-0.08772705283445248,-0.09404014050960541,-0.5503160059452057,-0.10049080636781582,-0.06237642467021942,-0.24253901839256287,-0.034593878057421534,-0.08447514474391937,-0.28797468543052673,-0.08763768312019238,-0.052509605884552,-0.22494864463806152,-0.1016076558498753,-0.03342430293560028,-0.1785564422607422,-0.09548783835452923,-0.08794774115085602,-0.1888483464717865,-0.045237028714836924,-0.08940774202346802,-0.21251261234283447,-0.087176469829501,-0.05938342213630676,-0.16932031512260437,-0.09119833048862347,-0.038620561361312866,-0.13721495866775513,-0.08377099570316204,V
